,수위,총유입량,총방류량
33938,5.05,428.778,274.111
33939,5.08,400.428,284.4
33940,5.12,451.042,296.375
33941,5.16,470.307,315.64
33942,5.18,498.972,421.639
33943,5.18,595.192,595.192
33944,5.18,595.705,595.705
33945,5.2,671.175,593.842
33946,5.2,577.655,577.655
33947,5.2,595.132,595.132
33948,5.18,530.849,608.182
33949,5.17,560.951,599.618
33950,5.16,557.081,595.748
33951,5.15,552.351,591.018
33952,5.14,545.516,584.183
33953,5.13,541.57,580.237
33954,5.13,573.18,573.18
33955,5.12,530.634,569.301
33956,5.12,564.123,564.123
33957,5.13,606.126,567.459
33958,5.14,612.181,573.514
33959,5.15,615.994,577.327
33960,5.16,619.043,580.376
33961,5.16,584.167,584.167
33962,5.16,584.587,584.587
33963,5.16,584.687,584.687
33964,5.16,584.615,584.615
33965,5.16,584.76,584.76
33966,5.16,585.167,585.167
33967,5.16,584.783,584.783
33968,5.16,584.77,584.77
33969,5.13,461.587,577.587
33970,5.09,399.006,553.673
33971,5.07,466.335,543.696
33972,5.04,420.268,536.268
33973,5.02,440.508,517.841
33974,5.0,406.374,483.707
33975,4.98,372.934,486.045
33976,4.97,414.592,471.148
33977,4.95,343.541,456.652
33978,4.95,236.993,236.993
33979,4.98,408.335,238.668
33980,5.0,356.626,243.515
33981,5.04,406.384,251.717
33982,5.08,418.219,263.525
33983,5.1,467.699,390.366
33984,5.11,533.495,494.828
33985,5.12,538.394,499.727
33986,5.12,503.18,503.18
33987,5.12,503.38,503.38
33988,5.12,503.864,503.864
33989,5.12,503.426,503.426
33990,5.12,503.5,503.5
33991,5.11,462.829,501.496
33992,5.11,498.257,498.257
33993,5.1,471.621,510.288
33994,5.1,579.111,579.111
33995,5.08,481.281,558.614
33996,5.06,510.665,588.026
33997,5.05,543.065,581.732
33998,5.03,497.231,574.564
33999,5.01,491.845,569.178
34000,4.99,466.526,561.748
34001,4.97,442.932,556.043
34002,4.96,493.529,550.085
34003,4.94,431.21,544.321
34004,4.94,539.584,539.584
34005,4.93,480.949,537.505
34006,4.93,474.728,474.728
34007,4.93,441.791,441.791
34008,4.92,381.848,438.404
34009,4.91,378.221,434.777
34010,4.91,327.648,327.648
34011,4.91,326.894,326.894
34012,4.91,327.04,327.04
34013,4.92,384.423,327.867
34014,4.93,386.896,330.34
34015,4.94,389.751,333.195
34016,4.94,335.779,335.779
34017,4.95,376.88,320.324
34018,4.96,231.034,174.478
34019,4.97,231.945,175.389
34020,4.97,176.33,176.33
34021,4.98,232.924,176.368
34022,4.99,233.386,176.83
34023,5.0,233.689,177.133
34024,5.02,257.055,179.722
34025,5.03,222.659,183.992
34026,5.04,343.283,304.616
34027,5.04,379.592,379.592
34028,5.04,379.224,379.224
34029,5.04,379.198,379.198
34030,5.04,379.332,379.332
34031,5.03,353.201,391.868
34032,5.03,414.102,414.102
34033,5.02,396.233,434.9
34034,5.01,402.016,440.683
34035,5.0,398.951,437.618
34036,4.99,377.667,434.223
34037,4.98,375.425,431.981
34038,4.97,371.511,428.067
34039,4.95,311.026,424.137
34040,4.94,363.933,420.489
34041,4.94,234.376,234.376
34042,4.94,172.843,172.843
34043,4.94,173.316,173.316
34044,4.95,231.226,174.67
34045,4.97,289.854,176.743
34046,5.0,346.557,176.89
34047,5.01,216.102,177.435
34048,5.03,260.828,183.495
34049,5.05,266.581,189.248
34050,5.07,272.03,194.697
34051,5.1,318.739,202.711
34052,5.13,387.134,271.134
34053,5.13,493.991,493.991
34054,5.12,449.808,488.475
34055,5.11,445.737,484.404
34056,5.1,441.943,480.61
34057,5.09,437.192,475.859
34058,5.08,433.238,471.905
34059,5.07,429.474,468.168
34060,5.06,427.029,465.696
34061,5.05,423.303,461.97
34062,5.03,375.652,452.985
34063,5.03,288.458,288.458
34064,5.03,288.588,288.588
34065,5.03,290.105,290.105
34066,5.02,239.48,278.147
34067,5.02,250.783,250.783
34068,5.02,288.305,288.305
34069,5.02,288.693,288.693
34070,5.03,329.164,290.497
34071,5.04,331.508,292.841
34072,5.05,333.551,294.884
34073,5.06,336.172,297.505
34074,5.07,339.022,300.355
34075,5.09,382.965,305.604
34076,5.11,387.448,310.115
34077,5.12,355.149,316.482
34078,5.13,361.714,323.047
34079,5.14,368.616,329.949
34080,5.14,330.856,330.856
34081,5.14,330.814,330.814
34082,5.14,330.78,330.78
34083,5.14,330.383,330.383
34084,5.14,330.197,330.197
34085,5.14,329.967,329.967
34086,5.14,330.205,330.205
34087,5.14,329.839,329.839
34088,5.14,329.47,329.47
34089,5.14,329.782,329.782
34090,5.15,369.769,331.102
34091,5.17,417.038,339.705
34092,5.19,427.906,350.573
34093,5.19,489.113,489.113
34094,5.18,479.142,517.809
34095,5.17,475.642,514.309
34096,5.16,470.187,508.854
34097,5.14,423.559,500.892
34098,5.13,452.635,491.302
34099,5.12,446.63,485.297
34100,5.11,440.536,479.203
34101,5.1,434.586,473.253
34102,5.1,472.132,472.132
34103,5.1,472.479,472.479
34104,5.1,472.743,472.743
34105,5.09,431.376,470.043
34106,5.09,469.763,469.763
34107,5.08,429.971,468.638
34108,5.08,467.217,467.217
34109,5.08,466.868,466.868
34110,5.07,428.487,467.181
34111,5.07,464.347,464.347
34112,5.07,464.662,464.662
34113,5.07,465.098,465.098
34114,5.05,512.074,589.407
34115,5.05,501.7,501.7
34116,5.06,507.408,468.741
34117,5.04,726.432,803.765
34118,4.93,585.217,1135.773
34119,4.88,228.545,511.323
34120,4.87,231.719,288.275
34121,4.85,171.736,284.847
34122,4.84,223.762,280.318
34123,4.89,567.625,284.847
34124,4.93,522.432,296.21
34125,4.97,532.04,305.818
34126,5.01,522.672,314.339
34127,5.05,479.923,325.256
34128,5.09,490.658,335.964
34129,5.11,421.978,344.645
34130,5.12,391.899,353.232
34131,5.14,438.476,361.143
34132,5.15,406.207,367.54
34133,5.15,372.003,372.003
