,일시,수위(EL.m)
513,2012-09-17 10시,6.825
514,2012-09-17 11시,6.951
515,2012-09-17 12시,7.077
516,2012-09-17 13시,7.32
517,2012-09-17 14시,7.68
518,2012-09-17 15시,8.09
519,2012-09-17 16시,8.55
520,2012-09-17 17시,8.983
521,2012-09-17 18시,9.38
522,2012-09-17 19시,9.71
523,2012-09-17 20시,9.96
524,2012-09-17 21시,10.18
525,2012-09-17 22시,10.33
526,2012-09-17 23시,10.44
527,2012-09-17 24시,10.56
528,2012-09-18 01시,10.63
529,2012-09-18 02시,10.71
530,2012-09-18 03시,10.76
531,2012-09-18 04시,10.79
532,2012-09-18 05시,10.79
533,2012-09-18 06시,10.79
534,2012-09-18 07시,10.76
535,2012-09-18 08시,10.74
536,2012-09-18 09시,10.7
537,2012-09-18 10시,10.65
538,2012-09-18 11시,10.6
539,2012-09-18 12시,10.53
540,2012-09-18 13시,10.44
541,2012-09-18 14시,10.35
542,2012-09-18 15시,10.25
543,2012-09-18 16시,10.13
544,2012-09-18 17시,10.02
545,2012-09-18 18시,9.88
546,2012-09-18 19시,9.73
547,2012-09-18 20시,9.58
548,2012-09-18 21시,9.43
549,2012-09-18 22시,9.25
550,2012-09-18 23시,9.08
551,2012-09-18 24시,8.89
552,2012-09-19 01시,8.71
553,2012-09-19 02시,8.52
554,2012-09-19 03시,8.33
555,2012-09-19 04시,8.14
556,2012-09-19 05시,7.94
557,2012-09-19 06시,7.74
558,2012-09-19 07시,7.55
559,2012-09-19 08시,7.35
560,2012-09-19 09시,7.16
561,2012-09-19 10시,6.97
562,2012-09-19 11시,6.79
563,2012-09-19 12시,6.61
564,2012-09-19 13시,6.44
565,2012-09-19 14시,6.27
566,2012-09-19 15시,6.09
567,2012-09-19 16시,5.89
568,2012-09-19 17시,5.67
569,2012-09-19 18시,5.59
570,2012-09-19 19시,5.59
571,2012-09-19 20시,5.62
572,2012-09-19 21시,5.59
573,2012-09-19 22시,5.55
574,2012-09-19 23시,5.52
575,2012-09-19 24시,5.48
576,2012-09-20 01시,5.45
577,2012-09-20 02시,5.43
578,2012-09-20 03시,5.41
579,2012-09-20 04시,5.38
580,2012-09-20 05시,5.34
581,2012-09-20 06시,5.3
582,2012-09-20 07시,5.25
583,2012-09-20 08시,5.21
584,2012-09-20 09시,5.16
585,2012-09-20 10시,5.16
586,2012-09-20 11시,5.16
587,2012-09-20 12시,5.15
588,2012-09-20 13시,5.12
589,2012-09-20 14시,5.06
590,2012-09-20 15시,5.07
591,2012-09-20 16시,5.18
592,2012-09-20 17시,5.28
593,2012-09-20 18시,5.43
594,2012-09-20 19시,5.68
595,2012-09-20 20시,5.77
596,2012-09-20 21시,5.9
597,2012-09-20 22시,6.01
598,2012-09-20 23시,6.08
599,2012-09-20 24시,6.07
600,2012-09-21 01시,6.01
601,2012-09-21 02시,5.91
602,2012-09-21 03시,5.79
603,2012-09-21 04시,5.69
604,2012-09-21 05시,5.61
605,2012-09-21 06시,5.54
606,2012-09-21 07시,5.49
607,2012-09-21 08시,5.44
608,2012-09-21 09시,5.41
609,2012-09-21 10시,5.4
610,2012-09-21 11시,5.39
611,2012-09-21 12시,5.36
612,2012-09-21 13시,5.33
613,2012-09-21 14시,5.32
614,2012-09-21 15시,5.35
615,2012-09-21 16시,5.31
616,2012-09-21 17시,5.27
617,2012-09-21 18시,5.26
618,2012-09-21 19시,5.26
619,2012-09-21 20시,5.23
620,2012-09-21 21시,5.22
621,2012-09-21 22시,5.25
622,2012-09-21 23시,5.27
623,2012-09-21 24시,5.28
624,2012-09-22 01시,5.28
625,2012-09-22 02시,5.28
626,2012-09-22 03시,5.25
627,2012-09-22 04시,5.22
628,2012-09-22 05시,5.18
629,2012-09-22 06시,5.13
630,2012-09-22 07시,5.1
631,2012-09-22 08시,5.07
632,2012-09-22 09시,5.04
633,2012-09-22 10시,5.02
634,2012-09-22 11시,5.11
635,2012-09-22 12시,5.11
636,2012-09-22 13시,5.06
637,2012-09-22 14시,5.1
638,2012-09-22 15시,5.13
639,2012-09-22 16시,5.14
640,2012-09-22 17시,5.14
641,2012-09-22 18시,5.18
642,2012-09-22 19시,5.25
643,2012-09-22 20시,5.28
644,2012-09-22 21시,5.36
645,2012-09-22 22시,5.41
646,2012-09-22 23시,5.44
647,2012-09-22 24시,5.42
648,2012-09-23 01시,5.37
649,2012-09-23 02시,5.32
650,2012-09-23 03시,5.29
651,2012-09-23 04시,5.26
652,2012-09-23 05시,5.23
653,2012-09-23 06시,5.22
654,2012-09-23 07시,5.21
655,2012-09-23 08시,5.21
656,2012-09-23 09시,5.24
657,2012-09-23 10시,5.27
658,2012-09-23 11시,5.31
659,2012-09-23 12시,5.33
660,2012-09-23 13시,5.35
661,2012-09-23 14시,5.35
662,2012-09-23 15시,5.34
663,2012-09-23 16시,5.34
664,2012-09-23 17시,5.33
665,2012-09-23 18시,5.31
666,2012-09-23 19시,5.29
667,2012-09-23 20시,5.28
668,2012-09-23 21시,5.28
669,2012-09-23 22시,5.27
670,2012-09-23 23시,5.26
671,2012-09-23 24시,5.26
672,2012-09-24 01시,5.26
673,2012-09-24 02시,5.25
674,2012-09-24 03시,5.25
675,2012-09-24 04시,5.25
676,2012-09-24 05시,5.24
677,2012-09-24 06시,5.26
678,2012-09-24 07시,5.27
679,2012-09-24 08시,5.27
680,2012-09-24 09시,5.28
681,2012-09-24 10시,5.28
682,2012-09-24 11시,5.24
683,2012-09-24 12시,5.21
684,2012-09-24 13시,5.2
685,2012-09-24 14시,5.18
686,2012-09-24 15시,5.16
687,2012-09-24 16시,5.16
688,2012-09-24 17시,5.16
689,2012-09-24 18시,5.17
690,2012-09-24 19시,5.17
691,2012-09-24 20시,5.17
692,2012-09-24 21시,5.17
693,2012-09-24 22시,5.18
694,2012-09-24 23시,5.21
695,2012-09-24 24시,5.24
696,2012-09-25 01시,5.28
697,2012-09-25 02시,5.3
698,2012-09-25 03시,5.32
699,2012-09-25 04시,5.33
700,2012-09-25 05시,5.35
701,2012-09-25 06시,5.36
702,2012-09-25 07시,5.36
703,2012-09-25 08시,5.37
704,2012-09-25 09시,5.37
705,2012-09-25 10시,5.31
706,2012-09-25 11시,5.27
707,2012-09-25 12시,5.27
708,2012-09-25 13시,5.28
709,2012-09-25 14시,5.29
710,2012-09-25 15시,5.29
711,2012-09-25 16시,5.29
712,2012-09-25 17시,5.26
713,2012-09-25 18시,5.13
714,2012-09-25 19시,5.05
715,2012-09-25 20시,5.03
716,2012-09-25 21시,4.96
717,2012-09-25 22시,4.87
718,2012-09-25 23시,4.78
719,2012-09-25 24시,4.71
720,2012-09-26 01시,4.64
721,2012-09-26 02시,4.59
722,2012-09-26 03시,4.55
723,2012-09-26 04시,4.51
724,2012-09-26 05시,4.47
725,2012-09-26 06시,4.44
726,2012-09-26 07시,4.41
727,2012-09-26 08시,4.41
728,2012-09-26 09시,4.53
729,2012-09-26 10시,4.65
730,2012-09-26 11시,4.72
731,2012-09-26 12시,4.72
732,2012-09-26 13시,4.79
733,2012-09-26 14시,4.79
734,2012-09-26 15시,4.79
735,2012-09-26 16시,4.77
736,2012-09-26 17시,4.77
737,2012-09-26 18시,4.77
738,2012-09-26 19시,4.76
739,2012-09-26 20시,4.76
740,2012-09-26 21시,4.76
741,2012-09-26 22시,4.76
742,2012-09-26 23시,4.76
743,2012-09-26 24시,4.76
744,2012-09-27 01시,4.78
745,2012-09-27 02시,4.78
746,2012-09-27 03시,4.78
747,2012-09-27 04시,4.79
748,2012-09-27 05시,4.8
749,2012-09-27 06시,4.8
750,2012-09-27 07시,4.81
751,2012-09-27 08시,4.82
752,2012-09-27 09시,4.83
753,2012-09-27 10시,4.88
754,2012-09-27 11시,5.01
755,2012-09-27 12시,5.02
756,2012-09-27 13시,4.99
757,2012-09-27 14시,5.0
758,2012-09-27 15시,5.05
759,2012-09-27 16시,5.05
760,2012-09-27 17시,5.09
761,2012-09-27 18시,5.14
762,2012-09-27 19시,5.18
763,2012-09-27 20시,5.14
764,2012-09-27 21시,5.1
765,2012-09-27 22시,5.09
766,2012-09-27 23시,5.11
767,2012-09-27 24시,5.12
768,2012-09-28 01시,5.14
769,2012-09-28 02시,5.17
770,2012-09-28 03시,5.19
771,2012-09-28 04시,5.19
772,2012-09-28 05시,5.19
773,2012-09-28 06시,5.18
774,2012-09-28 07시,5.18
775,2012-09-28 08시,5.16
776,2012-09-28 09시,5.15
777,2012-09-28 10시,5.14
778,2012-09-28 11시,5.14
779,2012-09-28 12시,5.13
780,2012-09-28 13시,5.12
781,2012-09-28 14시,5.12
782,2012-09-28 15시,5.13
783,2012-09-28 16시,5.13
784,2012-09-28 17시,5.14
785,2012-09-28 18시,5.16
786,2012-09-28 19시,5.17
787,2012-09-28 20시,5.18
788,2012-09-28 21시,5.16
789,2012-09-28 22시,5.13
790,2012-09-28 23시,5.12
791,2012-09-28 24시,5.12
792,2012-09-29 01시,5.1
793,2012-09-29 02시,5.09
794,2012-09-29 03시,5.08
795,2012-09-29 04시,5.07
796,2012-09-29 05시,5.06
797,2012-09-29 06시,5.05
798,2012-09-29 07시,5.04
799,2012-09-29 08시,5.03
800,2012-09-29 09시,5.02
801,2012-09-29 10시,5.02
802,2012-09-29 11시,5.02
803,2012-09-29 12시,5.02
804,2012-09-29 13시,5.02
805,2012-09-29 14시,5.03
806,2012-09-29 15시,5.03
807,2012-09-29 16시,5.05
808,2012-09-29 17시,5.09
809,2012-09-29 18시,5.09
810,2012-09-29 19시,5.09
811,2012-09-29 20시,5.1
812,2012-09-29 21시,5.11
813,2012-09-29 22시,5.11
814,2012-09-29 23시,5.14
815,2012-09-29 24시,5.16
816,2012-09-30 01시,5.17
817,2012-09-30 02시,5.17
818,2012-09-30 03시,5.17
819,2012-09-30 04시,5.17
820,2012-09-30 05시,5.17
821,2012-09-30 06시,5.17
822,2012-09-30 07시,5.17
823,2012-09-30 08시,5.17
824,2012-09-30 09시,5.18
825,2012-09-30 10시,5.18
826,2012-09-30 11시,5.19
827,2012-09-30 12시,5.2
828,2012-09-30 13시,5.2
829,2012-09-30 14시,5.21
830,2012-09-30 15시,5.25
831,2012-09-30 16시,5.28
832,2012-09-30 17시,5.28
833,2012-09-30 18시,5.28
834,2012-09-30 19시,5.28
835,2012-09-30 20시,5.28
836,2012-09-30 21시,5.27
837,2012-09-30 22시,5.26
838,2012-09-30 23시,5.24
839,2012-09-30 24시,5.23
840,2012-10-01 01시,5.22
841,2012-10-01 02시,5.21
842,2012-10-01 03시,5.2
843,2012-10-01 04시,5.2
844,2012-10-01 05시,5.2
845,2012-10-01 06시,5.2
846,2012-10-01 07시,5.2
847,2012-10-01 08시,5.21
848,2012-10-01 09시,5.21
849,2012-10-01 10시,5.21
850,2012-10-01 11시,5.22
851,2012-10-01 12시,5.22
852,2012-10-01 13시,5.22
853,2012-10-01 14시,5.22
854,2012-10-01 15시,5.22
855,2012-10-01 16시,5.22
856,2012-10-01 17시,5.24
857,2012-10-01 18시,5.24
858,2012-10-01 19시,5.24
859,2012-10-01 20시,5.25
860,2012-10-01 21시,5.25
861,2012-10-01 22시,5.25
862,2012-10-01 23시,5.25
863,2012-10-01 24시,5.25
864,2012-10-02 01시,5.25
865,2012-10-02 02시,5.25
866,2012-10-02 03시,5.25
867,2012-10-02 04시,5.25
868,2012-10-02 05시,5.25
869,2012-10-02 06시,5.25
870,2012-10-02 07시,5.25
