Unnamed: 0,수위,총유입량,총방류량
62009,6.36,3482.309,3708.42
62010,6.3,3354.968,3626.329
62011,6.23,3221.431,3538.014
62012,6.16,3124.198,3440.781
62013,6.08,2974.262,3336.068
62014,5.99,2819.767,3222.85
62015,5.9,2739.667,3111.167
62016,5.78,2532.212,3027.518
62017,5.64,2340.961,2918.85
62018,5.51,2219.905,2756.488
62019,5.38,2094.168,2599.474
62020,5.23,1871.156,2451.156
62021,5.1,1822.868,2325.562
62022,4.97,1697.597,2253.958
62023,4.83,1451.928,2243.706
62024,4.91,1902.297,1449.853
62025,5.1,2489.279,1593.585
62026,5.12,2121.75,2044.417
62027,5.04,1738.617,2047.978
62028,5.05,1909.617,1870.95
62029,5.06,1915.405,1876.738
62030,5.02,1732.815,1887.482
62031,4.97,1504.575,1751.575
62032,4.96,1418.819,1475.375
62033,4.94,1329.791,1442.902
62034,4.93,1268.491,1325.047
62035,4.92,1245.046,1301.602
62036,4.92,1231.71,1231.71
62037,4.91,1133.646,1190.202
62038,4.91,1017.168,1017.168
62039,4.91,986.27,986.27
62040,4.91,969.47,969.47
62041,4.89,785.377,898.488
62042,4.89,790.3,790.3
62043,4.88,728.669,785.225
62044,4.87,727.882,784.438
62045,4.87,769.873,769.873
62046,4.87,748.343,748.343
62047,4.87,757.32,757.32
62048,4.88,817.964,761.408
62049,4.89,822.334,765.778
62050,4.9,824.129,767.573
62051,4.91,825.796,769.24
62052,4.91,749.462,749.462
62053,4.91,719.635,719.635
62054,4.91,703.155,703.155
62055,4.87,467.596,693.818
62056,4.84,494.763,664.43
62057,4.84,474.64,474.64
62058,4.85,485.67,429.114
62059,4.87,467.408,354.297
62060,4.87,357.702,357.702
62061,4.87,359.64,359.64
62062,4.87,361.537,361.537
62063,4.88,467.224,410.668
62064,4.83,390.872,673.65
62065,4.81,533.231,646.342
62066,4.83,738.341,625.23
62067,4.85,743.794,630.683
62068,4.86,690.774,634.218
62069,4.86,611.1,611.1
62070,4.87,660.223,603.667
62071,4.87,583.525,583.525
62072,4.85,454.584,567.695
62073,4.84,442.784,499.34
62074,4.83,411.842,468.398
62075,4.83,427.958,427.958
62076,4.83,427.68,427.68
62077,4.83,427.535,427.535
62078,4.84,486.263,429.707
62079,4.85,488.941,432.385
62080,4.85,436.672,436.672
62081,4.86,495.024,438.468
62082,4.86,439.07,439.07
62083,4.87,495.864,439.308
62084,4.87,441.91,441.91
62085,4.87,442.328,442.328
62086,4.87,440.838,440.838
62087,4.89,489.363,376.252
62088,4.89,368.808,368.808
62089,4.89,369.91,369.91
62090,4.89,371.052,371.052
62091,4.89,403.158,403.158
62092,4.89,451.263,451.263
62093,4.89,451.818,451.818
62094,4.89,452.095,452.095
62095,4.89,450.455,450.455
62096,4.88,391.421,447.977
62097,4.88,444.705,444.705
62098,4.87,386.746,443.302
62099,4.87,439.483,439.483
62100,4.87,439.475,439.475
62101,4.86,297.159,353.715
62102,4.88,323.134,210.023
62103,4.88,207.207,207.207
62104,4.86,96.616,209.727
62105,4.86,158.867,158.867
62106,4.88,258.876,145.765
62107,4.89,207.519,150.963
62108,4.89,154.9,154.9
62109,4.9,266.004,209.448
62110,4.94,456.47,230.248
62111,5.0,587.615,248.282
62112,5.03,504.67,388.67
62113,5.04,494.431,455.764
